source_doc,eval_type,eval_method,variant,score,duration
1,N-gram,Rouge2,repeated_sentence_0.7,0.9901289282836422,0.03279471397399902
1,Graph-based,AutoSummENG,repeated_sentence_0.7,0.905832,16.070884227752686
1,Graph-based,MeMoG,repeated_sentence_0.7,0.905832,16.070884227752686
1,Meta,NPowER,repeated_sentence_0.7,0.810120,16.070884227752686
1,Embeddings-based,BERTScore,repeated_sentence_0.7,0.5714619755744934,1.1362981796264648
1,N-gram,Rouge1,repeated_sentence_0.9,0.9939577039274925,0.04394078254699707
1,N-gram,Rouge2,repeated_sentence_0.9,0.9901289282836422,0.034966230392456055
1,Graph-based,AutoSummENG,repeated_sentence_0.9,0.905628,15.999170064926147
1,Graph-based,MeMoG,repeated_sentence_0.9,0.905628,15.999170064926147
1,Meta,NPowER,repeated_sentence_0.9,0.809951,15.999170064926147
1,Embeddings-based,BERTScore,repeated_sentence_0.9,0.5714619755744934,1.1966819763183594
1,N-gram,Rouge1,100_2,0.19422481952561016,0.0037446022033691406
1,N-gram,Rouge2,100_2,0.05089408528198074,0.033205270767211914
1,Graph-based,AutoSummENG,100_2,0.063340,7.765222549438477
1,Graph-based,MeMoG,100_2,0.063340,7.765222549438477
1,Meta,NPowER,100_2,0.111206,7.765222549438477
1,Embeddings-based,BERTScore,100_2,0.7144953608512878,0.5544838905334473
1,N-gram,Rouge1,101_2,0.33442233442233443,0.03050994873046875
1,N-gram,Rouge2,101_2,0.12566844919786094,0.016093969345092773
1,Graph-based,AutoSummENG,101_2,0.143736,9.344633340835571
1,Graph-based,MeMoG,101_2,0.143736,9.344633340835571
1,Meta,NPowER,101_2,0.177900,9.344633340835571
1,Embeddings-based,BERTScore,101_2,0.8286982178688049,0.6374363899230957
1,N-gram,Rouge1,102_2,0.18869917268086603,0.021718263626098633
1,N-gram,Rouge2,102_2,0.08698714562422961,0.013137102127075195
1,Graph-based,AutoSummENG,102_2,0.102025,8.624371528625488
1,Graph-based,MeMoG,102_2,0.102025,8.624371528625488
1,Meta,NPowER,102_2,0.143298,8.624371528625488
1,Embeddings-based,BERTScore,102_2,0.7138203382492065,0.6201720237731934
1,N-gram,Rouge1,103_2,0.33177860696517414,0.022073745727539062
1,N-gram,Rouge2,103_2,0.14027993779160186,0.02245616912841797
1,Graph-based,AutoSummENG,103_2,0.225124,12.279515027999878
1,Graph-based,MeMoG,103_2,0.225124,12.279515027999878
1,Meta,NPowER,103_2,0.245419,12.279515027999878
1,Embeddings-based,BERTScore,103_2,0.7504934072494507,0.7777607440948486
1,N-gram,Rouge1,105_2,0.31547431452883706,0.020935773849487305
1,N-gram,Rouge2,105_2,0.09583858764186633,0.015865325927734375
1,Graph-based,AutoSummENG,105_2,0.135601,9.134369373321533
1,Graph-based,MeMoG,105_2,0.135601,9.134369373321533
1,Meta,NPowER,105_2,0.171151,9.134369373321533
1,Embeddings-based,BERTScore,105_2,0.7602278590202332,0.6309835910797119
1,N-gram,Rouge1,106_2,0.4277591108813647,0.037383317947387695
1,N-gram,Rouge2,106_2,0.11763185108583246,0.014698028564453125
1,Graph-based,AutoSummENG,106_2,0.205289,11.079065084457397
1,Graph-based,MeMoG,106_2,0.205289,11.079065084457397
1,Meta,NPowER,106_2,0.228964,11.079065084457397
1,Embeddings-based,BERTScore,106_2,0.7432646155357361,0.738745927810669
1,N-gram,Rouge1,107_2,0.3168510084580351,0.021207809448242188
1,N-gram,Rouge2,107_2,0.11910185486495281,0.018955469131469727
1,Graph-based,AutoSummENG,107_2,0.118372,8.879839181900024
1,Graph-based,MeMoG,107_2,0.118372,8.879839181900024
1,Meta,NPowER,107_2,0.156859,8.879839181900024
1,Embeddings-based,BERTScore,107_2,0.7397106885910034,0.6147406101226807
1,N-gram,Rouge1,108_2,0.41817416912074046,0.021599292755126953
1,N-gram,Rouge2,108_2,0.14111376069574974,0.010481834411621094
1,Graph-based,AutoSummENG,108_2,0.179133,9.85801911354065
1,Graph-based,MeMoG,108_2,0.179133,9.85801911354065
1,Meta,NPowER,108_2,0.207265,9.85801911354065
1,Embeddings-based,BERTScore,108_2,0.6333244442939758,0.7709391117095947
1,N-gram,Rouge1,10_2,0.3700810185185185,0.02142620086669922
1,N-gram,Rouge2,10_2,0.11519536903039077,0.021854877471923828
1,Graph-based,AutoSummENG,10_2,0.149449,9.471732378005981
1,Graph-based,MeMoG,10_2,0.149449,9.471732378005981
1,Meta,NPowER,10_2,0.182640,9.471732378005981
1,Embeddings-based,BERTScore,10_2,0.7575111389160156,0.6715731620788574
1,N-gram,Rouge1,110_2,0.405497308019269,0.01746058464050293
1,N-gram,Rouge2,110_2,0.14370748299319727,0.01600956916809082
1,Graph-based,AutoSummENG,110_2,0.176541,10.653524398803711
1,Graph-based,MeMoG,110_2,0.176541,10.653524398803711
1,Meta,NPowER,110_2,0.205115,10.653524398803711
1,Embeddings-based,BERTScore,110_2,0.7841432094573975,0.6619207859039307
10,N-gram,Rouge1,source,1.0,0.009024381637573242
10,N-gram,Rouge2,source,1.0,0.00974416732788086
10,Graph-based,AutoSummENG,source,1.000000,3.9038751125335693
10,Graph-based,MeMoG,source,1.000000,3.9038751125335693
10,Meta,NPowER,source,0.888240,3.9038751125335693
10,Embeddings-based,BERTScore,source,1.0,0.21114349365234375
10,N-gram,Rouge1,consecutively_swapped_words_0.1,1.0,0.009840250015258789
10,N-gram,Rouge2,consecutively_swapped_words_0.1,0.9571280991735537,0.009514093399047852
10,Graph-based,AutoSummENG,consecutively_swapped_words_0.1,0.699039,4.008242130279541
10,Graph-based,MeMoG,consecutively_swapped_words_0.1,0.699039,4.008242130279541
10,Meta,NPowER,consecutively_swapped_words_0.1,0.638568,4.008242130279541
10,Embeddings-based,BERTScore,consecutively_swapped_words_0.1,0.9906627535820007,0.40531468391418457
10,N-gram,Rouge1,consecutively_swapped_words_0.3,1.0,0.015897512435913086
10,N-gram,Rouge2,consecutively_swapped_words_0.3,0.8713842975206612,0.018814563751220703
10,Graph-based,AutoSummENG,consecutively_swapped_words_0.3,0.656340,4.01398491859436
10,Graph-based,MeMoG,consecutively_swapped_words_0.3,0.656340,4.01398491859436
10,Meta,NPowER,consecutively_swapped_words_0.3,0.603146,4.01398491859436
10,Embeddings-based,BERTScore,consecutively_swapped_words_0.3,0.9807553887367249,0.40389442443847656
10,N-gram,Rouge1,consecutively_swapped_words_0.5,1.0,0.017067670822143555
10,N-gram,Rouge2,consecutively_swapped_words_0.5,0.797004132231405,0.0046846866607666016
