source_doc,type,method,variant,score
100,Embeddings-based,BERTScore,101_1,0.7849777936935425
100,N-gram,Rouge1,102_1,0.43478260869565216
100,N-gram,Rouge2,102_1,0.09523809523809522
100,Graph-based,AutoSummENG,102_1,0.451686
100,Graph-based,MeMoG,102_1,0.451686
100,Graph-based,NPowER,102_1,0.433370
100,Embeddings-based,BERTScore,102_1,0.7397146821022034
100,N-gram,Rouge1,103_1,0.3157894736842105
100,N-gram,Rouge2,103_1,0.0
100,Graph-based,AutoSummENG,103_1,0.542447
100,Graph-based,MeMoG,103_1,0.542447
100,Graph-based,NPowER,103_1,0.508664
100,Embeddings-based,BERTScore,103_1,0.8434030413627625
100,N-gram,Rouge1,105_1,0.25
100,N-gram,Rouge2,105_1,0.0
100,Graph-based,AutoSummENG,105_1,0.436362
100,Graph-based,MeMoG,105_1,0.436362
100,Graph-based,NPowER,105_1,0.420657
100,Embeddings-based,BERTScore,105_1,0.7975803017616272
100,N-gram,Rouge1,106_1,0.34782608695652173
100,N-gram,Rouge2,106_1,0.0
100,Graph-based,AutoSummENG,106_1,0.481331
100,Graph-based,MeMoG,106_1,0.481331
100,Graph-based,NPowER,106_1,0.457963
100,Embeddings-based,BERTScore,106_1,0.808080792427063
100,N-gram,Rouge1,107_1,0.3846153846153846
100,N-gram,Rouge2,107_1,0.16666666666666666
100,Graph-based,AutoSummENG,107_1,0.396677
100,Graph-based,MeMoG,107_1,0.396677
100,Graph-based,NPowER,107_1,0.387736
100,Embeddings-based,BERTScore,107_1,0.7701804041862488
100,N-gram,Rouge1,108_1,0.4166666666666667
100,N-gram,Rouge2,108_1,0.18181818181818182
100,Graph-based,AutoSummENG,108_1,0.505942
100,Graph-based,MeMoG,108_1,0.505942
100,Graph-based,NPowER,108_1,0.478380
100,Embeddings-based,BERTScore,108_1,0.8013699054718018
100,N-gram,Rouge1,10_1,0.6250000000000001
100,N-gram,Rouge2,10_1,0.42857142857142855
100,Graph-based,AutoSummENG,10_1,0.484255
100,Graph-based,MeMoG,10_1,0.484255
100,Graph-based,NPowER,10_1,0.460388
100,Embeddings-based,BERTScore,10_1,0.7892810702323914
100,N-gram,Rouge1,110_1,0.4
100,N-gram,Rouge2,110_1,0.2608695652173913
100,Graph-based,AutoSummENG,110_1,0.338460
100,Graph-based,MeMoG,110_1,0.338460
100,Graph-based,NPowER,110_1,0.339439
100,Embeddings-based,BERTScore,110_1,0.7434486746788025
100,N-gram,Rouge1,111_1,0.48
100,N-gram,Rouge2,111_1,0.1739130434782609
100,Graph-based,AutoSummENG,111_1,0.479800
100,Graph-based,MeMoG,111_1,0.479800
100,Graph-based,NPowER,111_1,0.456693
100,Embeddings-based,BERTScore,111_1,0.738906979560852
101,N-gram,Rouge1,source,1.0
101,N-gram,Rouge2,source,1.0
101,Graph-based,AutoSummENG,source,1.000000
101,Graph-based,MeMoG,source,1.000000
101,Graph-based,NPowER,source,0.888240
101,Embeddings-based,BERTScore,source,1.0
101,N-gram,Rouge1,deleted_words,0.9565217391304348
101,N-gram,Rouge2,deleted_words,0.9523809523809523
101,Graph-based,AutoSummENG,deleted_words,0.858161
101,Graph-based,MeMoG,deleted_words,0.858161
101,Graph-based,NPowER,deleted_words,0.770573
101,Embeddings-based,BERTScore,deleted_words,0.9554461240768433
101,N-gram,Rouge1,inserted_sentence,1.0
101,N-gram,Rouge2,inserted_sentence,1.0
101,Graph-based,AutoSummENG,inserted_sentence,0.922204
101,Graph-based,MeMoG,inserted_sentence,0.922204
101,Graph-based,NPowER,inserted_sentence,0.823702
101,Embeddings-based,BERTScore,inserted_sentence,0.9924326539039612
101,N-gram,Rouge1,removed_sentence,0.9090909090909091
101,N-gram,Rouge2,removed_sentence,0.7999999999999999
101,Graph-based,AutoSummENG,removed_sentence,0.965296
101,Graph-based,MeMoG,removed_sentence,0.965296
101,Graph-based,NPowER,removed_sentence,0.859450
101,Embeddings-based,BERTScore,removed_sentence,0.9848666787147522
101,N-gram,Rouge1,repeated_sentence,1.0
101,N-gram,Rouge2,repeated_sentence,1.0
101,Graph-based,AutoSummENG,repeated_sentence,0.684969
101,Graph-based,MeMoG,repeated_sentence,0.684969
101,Graph-based,NPowER,repeated_sentence,0.626896
101,Embeddings-based,BERTScore,repeated_sentence,0.9924326539039612
101,N-gram,Rouge1,shuffled_words,1.0
101,N-gram,Rouge2,shuffled_words,0.09090909090909091
101,Graph-based,AutoSummENG,shuffled_words,0.744801
101,Graph-based,MeMoG,shuffled_words,0.744801
101,Graph-based,NPowER,shuffled_words,0.676532
101,Embeddings-based,BERTScore,shuffled_words,0.7807239294052124
101,N-gram,Rouge1,100_1,0.4210526315789474
101,N-gram,Rouge2,100_1,0.11764705882352942
101,Graph-based,AutoSummENG,100_1,0.466165
101,Graph-based,MeMoG,100_1,0.466165
101,Graph-based,NPowER,100_1,0.445381
101,Embeddings-based,BERTScore,100_1,0.7849777936935425
101,N-gram,Rouge1,102_1,0.5714285714285715
101,N-gram,Rouge2,102_1,0.0
101,Graph-based,AutoSummENG,102_1,0.474392
101,Graph-based,MeMoG,102_1,0.474392
101,Graph-based,NPowER,102_1,0.452206
101,Embeddings-based,BERTScore,102_1,0.7879950404167175
101,N-gram,Rouge1,103_1,0.16666666666666666
101,N-gram,Rouge2,103_1,0.0
101,Graph-based,AutoSummENG,103_1,0.416959
101,Graph-based,MeMoG,103_1,0.416959
101,Graph-based,NPowER,103_1,0.404561
101,Embeddings-based,BERTScore,103_1,0.8000702261924744
101,N-gram,Rouge1,105_1,0.27586206896551724
101,N-gram,Rouge2,105_1,0.0
101,Graph-based,AutoSummENG,105_1,0.464591
101,Graph-based,MeMoG,105_1,0.464591
101,Graph-based,NPowER,105_1,0.444076
101,Embeddings-based,BERTScore,105_1,0.8486160039901733
101,N-gram,Rouge1,106_1,0.42857142857142855
101,N-gram,Rouge2,106_1,0.15384615384615383
101,Graph-based,AutoSummENG,106_1,0.437536
101,Graph-based,MeMoG,106_1,0.437536
101,Graph-based,NPowER,106_1,0.421631
101,Embeddings-based,BERTScore,106_1,0.7894707322120667
101,N-gram,Rouge1,107_1,0.6451612903225806
101,N-gram,Rouge2,107_1,0.20689655172413793
101,Graph-based,AutoSummENG,107_1,0.375666
101,Graph-based,MeMoG,107_1,0.375666
101,Graph-based,NPowER,107_1,0.370305
101,Embeddings-based,BERTScore,107_1,0.7775014042854309
101,N-gram,Rouge1,108_1,0.4827586206896552
101,N-gram,Rouge2,108_1,0.07407407407407407
101,Graph-based,AutoSummENG,108_1,0.529047
101,Graph-based,MeMoG,108_1,0.529047
101,Graph-based,NPowER,108_1,0.497547
101,Embeddings-based,BERTScore,108_1,0.8529992699623108
101,N-gram,Rouge1,10_1,0.6666666666666666
101,N-gram,Rouge2,10_1,0.10526315789473685
101,Graph-based,AutoSummENG,10_1,0.510592
101,Graph-based,MeMoG,10_1,0.510592
101,Graph-based,NPowER,10_1,0.482237
101,Embeddings-based,BERTScore,10_1,0.828109860420227
101,N-gram,Rouge1,110_1,0.4666666666666666
101,N-gram,Rouge2,110_1,0.07142857142857142
101,Graph-based,AutoSummENG,110_1,0.383878
101,Graph-based,MeMoG,110_1,0.383878
101,Graph-based,NPowER,110_1,0.377118
101,Embeddings-based,BERTScore,110_1,0.7865790724754333
101,N-gram,Rouge1,111_1,0.4666666666666666
101,N-gram,Rouge2,111_1,0.07142857142857142
101,Graph-based,AutoSummENG,111_1,0.471027
101,Graph-based,MeMoG,111_1,0.471027
101,Graph-based,NPowER,111_1,0.449414
101,Embeddings-based,BERTScore,111_1,0.77508145570755
102,N-gram,Rouge1,source,1.0
102,N-gram,Rouge2,source,1.0
102,Graph-based,AutoSummENG,source,1.000000
102,Graph-based,MeMoG,source,1.000000
102,Graph-based,NPowER,source,0.888240
102,Embeddings-based,BERTScore,source,1.0
102,N-gram,Rouge1,deleted_words,1.0
102,N-gram,Rouge2,deleted_words,1.0
