source_doc,eval_type,eval_method,variant,score,duration
19363,Model-based,FactCC,10065_1,0.99998045,0.050569772720336914
19363,Model-based,FactCC,10066_1,0.99983966,0.050569772720336914
19363,Model-based,FactCC,10067_1,0.9999434,0.04271411895751953
5648,Model-based,FactCC,source,0.00043792053,0.05075749754905701
5648,Model-based,FactCC,consecutively_swapped_words_0.1,0.0016843949,0.05075749754905701
5648,Model-based,FactCC,consecutively_swapped_words_0.3,0.020024646,0.05075749754905701
5648,Model-based,FactCC,consecutively_swapped_words_0.5,0.0165505,0.05075749754905701
5648,Model-based,FactCC,consecutively_swapped_words_0.7,0.02371199,0.05075749754905701
5648,Model-based,FactCC,consecutively_swapped_words_0.9,0.82953393,0.05075749754905701
5648,Model-based,FactCC,deleted_words_0.1,0.019487776,0.05075749754905701
5648,Model-based,FactCC,deleted_words_0.3,0.9929415,0.05075749754905701
5648,Model-based,FactCC,deleted_words_0.5,0.99551696,0.04894864559173584
5648,Model-based,FactCC,deleted_words_0.7,0.9995097,0.04894864559173584
5648,Model-based,FactCC,deleted_words_0.9,0.99992216,0.04894864559173584
5648,Model-based,FactCC,inserted_sentence_0.1,0.00025596615,0.04894864559173584
5648,Model-based,FactCC,inserted_sentence_0.3,0.9892743,0.04894864559173584
5648,Model-based,FactCC,inserted_sentence_0.5,0.9364301,0.04894864559173584
5648,Model-based,FactCC,inserted_sentence_0.7,0.9988507,0.04894864559173584
5648,Model-based,FactCC,inserted_sentence_0.9,0.9975291,0.04894864559173584
5648,Model-based,FactCC,randomly_swapped_words_0.1,0.003447755,0.048780858516693115
5648,Model-based,FactCC,randomly_swapped_words_0.3,0.83570576,0.048780858516693115
5648,Model-based,FactCC,randomly_swapped_words_0.5,0.99477994,0.048780858516693115
5648,Model-based,FactCC,randomly_swapped_words_0.7,0.9158634,0.048780858516693115
5648,Model-based,FactCC,randomly_swapped_words_0.9,0.9919674,0.048780858516693115
5648,Model-based,FactCC,removed_sentence_0.1,0.982682,0.048780858516693115
5648,Model-based,FactCC,removed_sentence_0.3,0.9849961,0.048780858516693115
5648,Model-based,FactCC,removed_sentence_0.5,0.95268536,0.048780858516693115
5648,Model-based,FactCC,removed_sentence_0.7,0.9999094,0.05397510528564453
5648,Model-based,FactCC,removed_sentence_0.9,3.7547074e-05,0.05397510528564453
5648,Model-based,FactCC,repeated_sentence_0.1,0.0019891162,0.05397510528564453
5648,Model-based,FactCC,repeated_sentence_0.3,0.0011009282,0.05397510528564453
5648,Model-based,FactCC,repeated_sentence_0.5,0.0011009282,0.05397510528564453
5648,Model-based,FactCC,repeated_sentence_0.7,0.0011009282,0.05397510528564453
5648,Model-based,FactCC,repeated_sentence_0.9,0.0011009282,0.05397510528564453
5648,Model-based,FactCC,10023_1,0.9945134,0.05397510528564453
5648,Model-based,FactCC,10024_1,0.9879978,0.06218108534812927
5648,Model-based,FactCC,10025_1,0.9972777,0.06218108534812927
5648,Model-based,FactCC,10050_1,0.9945334,0.06218108534812927
5648,Model-based,FactCC,10051_1,0.99392563,0.06218108534812927
5648,Model-based,FactCC,10063_1,0.99905866,0.06218108534812927
5648,Model-based,FactCC,10064_1,0.9891367,0.06218108534812927
5648,Model-based,FactCC,10065_1,0.9993845,0.06218108534812927
5648,Model-based,FactCC,10066_1,0.99875605,0.06218108534812927
5648,Model-based,FactCC,10067_1,0.99926823,0.06733417510986328
14543,Model-based,FactCC,source,0.00021481604,0.02895495295524597
14543,Model-based,FactCC,consecutively_swapped_words_0.1,0.0025639166,0.02895495295524597
14543,Model-based,FactCC,consecutively_swapped_words_0.3,0.008283377,0.02895495295524597
14543,Model-based,FactCC,consecutively_swapped_words_0.5,0.03495301,0.02895495295524597
14543,Model-based,FactCC,consecutively_swapped_words_0.7,0.026719587,0.02895495295524597
14543,Model-based,FactCC,consecutively_swapped_words_0.9,0.060504507,0.02895495295524597
14543,Model-based,FactCC,deleted_words_0.1,0.25448447,0.02895495295524597
14543,Model-based,FactCC,deleted_words_0.3,0.9158119,0.02895495295524597
14543,Model-based,FactCC,deleted_words_0.5,0.9998406,0.0303705632686615
14543,Model-based,FactCC,deleted_words_0.7,0.9999225,0.0303705632686615
14543,Model-based,FactCC,deleted_words_0.9,0.99996424,0.0303705632686615
14543,Model-based,FactCC,inserted_sentence_0.1,0.98946685,0.0303705632686615
14543,Model-based,FactCC,inserted_sentence_0.3,0.99096465,0.0303705632686615
14543,Model-based,FactCC,inserted_sentence_0.5,0.99998724,0.0303705632686615
14543,Model-based,FactCC,inserted_sentence_0.7,0.9997583,0.0303705632686615
14543,Model-based,FactCC,inserted_sentence_0.9,0.9999585,0.0303705632686615
14543,Model-based,FactCC,randomly_swapped_words_0.1,0.9985323,0.02787420153617859
14543,Model-based,FactCC,randomly_swapped_words_0.3,0.9984225,0.02787420153617859
14543,Model-based,FactCC,randomly_swapped_words_0.5,0.9999604,0.02787420153617859
14543,Model-based,FactCC,randomly_swapped_words_0.7,0.99697,0.02787420153617859
14543,Model-based,FactCC,randomly_swapped_words_0.9,0.99793977,0.02787420153617859
14543,Model-based,FactCC,removed_sentence_0.1,0.042439487,0.02787420153617859
14543,Model-based,FactCC,removed_sentence_0.3,0.18878499,0.02787420153617859
14543,Model-based,FactCC,removed_sentence_0.5,0.99515045,0.02787420153617859
14543,Model-based,FactCC,removed_sentence_0.7,0.9998919,0.03232434391975403
14543,Model-based,FactCC,removed_sentence_0.9,0.00025315155,0.03232434391975403
14543,Model-based,FactCC,repeated_sentence_0.1,0.9401965,0.03232434391975403
14543,Model-based,FactCC,repeated_sentence_0.3,0.027574554,0.03232434391975403
14543,Model-based,FactCC,repeated_sentence_0.5,0.14186695,0.03232434391975403
14543,Model-based,FactCC,repeated_sentence_0.7,0.6502027,0.03232434391975403
14543,Model-based,FactCC,repeated_sentence_0.9,0.6502027,0.03232434391975403
14543,Model-based,FactCC,10023_1,0.998865,0.03232434391975403
14543,Model-based,FactCC,10024_1,0.9955996,0.04000312089920044
14543,Model-based,FactCC,10025_1,0.999899,0.04000312089920044
14543,Model-based,FactCC,10050_1,0.99992967,0.04000312089920044
14543,Model-based,FactCC,10051_1,0.99998057,0.04000312089920044
14543,Model-based,FactCC,10063_1,0.9992494,0.04000312089920044
14543,Model-based,FactCC,10064_1,0.99817,0.04000312089920044
14543,Model-based,FactCC,10065_1,0.9998603,0.04000312089920044
14543,Model-based,FactCC,10066_1,0.9999651,0.04000312089920044
14543,Model-based,FactCC,10067_1,0.9961138,0.038190364837646484
16994,Model-based,FactCC,source,0.0007643033,0.07265359163284302
16994,Model-based,FactCC,consecutively_swapped_words_0.1,0.058724754,0.07265359163284302
16994,Model-based,FactCC,consecutively_swapped_words_0.3,0.14402555,0.07265359163284302
16994,Model-based,FactCC,consecutively_swapped_words_0.5,0.13164346,0.07265359163284302
16994,Model-based,FactCC,consecutively_swapped_words_0.7,0.17448369,0.07265359163284302
16994,Model-based,FactCC,consecutively_swapped_words_0.9,0.10731006,0.07265359163284302
16994,Model-based,FactCC,deleted_words_0.1,0.027338337,0.07265359163284302
16994,Model-based,FactCC,deleted_words_0.3,0.9979633,0.07265359163284302
16994,Model-based,FactCC,deleted_words_0.5,0.9984084,0.06969046592712402
16994,Model-based,FactCC,deleted_words_0.7,0.99988604,0.06969046592712402
16994,Model-based,FactCC,deleted_words_0.9,0.9999677,0.06969046592712402
16994,Model-based,FactCC,inserted_sentence_0.1,0.99527645,0.06969046592712402
16994,Model-based,FactCC,inserted_sentence_0.3,0.99990463,0.06969046592712402
16994,Model-based,FactCC,inserted_sentence_0.5,0.99334043,0.06969046592712402
16994,Model-based,FactCC,inserted_sentence_0.7,0.9880015,0.06969046592712402
16994,Model-based,FactCC,inserted_sentence_0.9,0.9925842,0.06969046592712402
16994,Model-based,FactCC,randomly_swapped_words_0.1,0.9973435,0.06421265006065369
16994,Model-based,FactCC,randomly_swapped_words_0.3,0.9969909,0.06421265006065369
16994,Model-based,FactCC,randomly_swapped_words_0.5,0.99893886,0.06421265006065369
16994,Model-based,FactCC,randomly_swapped_words_0.7,0.99997926,0.06421265006065369
16994,Model-based,FactCC,randomly_swapped_words_0.9,0.999793,0.06421265006065369
16994,Model-based,FactCC,removed_sentence_0.1,0.0036189023,0.06421265006065369
16994,Model-based,FactCC,removed_sentence_0.3,0.8321595,0.06421265006065369
16994,Model-based,FactCC,removed_sentence_0.5,0.06415232,0.06421265006065369
16994,Model-based,FactCC,removed_sentence_0.7,0.019440489,0.0707341730594635
16994,Model-based,FactCC,removed_sentence_0.9,2.531758e-05,0.0707341730594635
16994,Model-based,FactCC,repeated_sentence_0.1,0.09372976,0.0707341730594635
16994,Model-based,FactCC,repeated_sentence_0.3,0.12178007,0.0707341730594635
16994,Model-based,FactCC,repeated_sentence_0.5,0.043129444,0.0707341730594635
16994,Model-based,FactCC,repeated_sentence_0.7,0.13719314,0.0707341730594635
16994,Model-based,FactCC,repeated_sentence_0.9,0.08896844,0.0707341730594635
16994,Model-based,FactCC,10023_1,0.98975253,0.0707341730594635
16994,Model-based,FactCC,10024_1,0.9844642,0.08954095840454102
16994,Model-based,FactCC,10025_1,0.99113935,0.08954095840454102
16994,Model-based,FactCC,10050_1,0.99831885,0.08954095840454102
16994,Model-based,FactCC,10051_1,0.994869,0.08954095840454102
16994,Model-based,FactCC,10063_1,0.98308647,0.08954095840454102
16994,Model-based,FactCC,10064_1,0.99696016,0.08954095840454102
16994,Model-based,FactCC,10065_1,0.9994672,0.08954095840454102
16994,Model-based,FactCC,10066_1,0.9990214,0.08954095840454102
16994,Model-based,FactCC,10067_1,0.94080895,0.09542059898376465
2405,Model-based,FactCC,source,0.0006869601,0.04545602202415466
2405,Model-based,FactCC,consecutively_swapped_words_0.1,0.0030607763,0.04545602202415466
2405,Model-based,FactCC,consecutively_swapped_words_0.3,0.12877789,0.04545602202415466
2405,Model-based,FactCC,consecutively_swapped_words_0.5,0.87446433,0.04545602202415466
2405,Model-based,FactCC,consecutively_swapped_words_0.7,0.3315109,0.04545602202415466
2405,Model-based,FactCC,consecutively_swapped_words_0.9,0.9613393,0.04545602202415466
2405,Model-based,FactCC,deleted_words_0.1,0.980101,0.04545602202415466
2405,Model-based,FactCC,deleted_words_0.3,0.99360067,0.04545602202415466
